dataset,type,name,ratio,l1,l2,l3
bcc_HfNb,alloy,Hf84Nb44,1.6140632053098332,13.999260770376292,12.08563160694911,19.50697328970611
bcc_HfNb,alloy,Hf88Nb40,1.632624513600856,12.017581987904515,13.968007787357593,19.620198947661017
bcc_HfNb,alloy,Hf8Nb120,1.6681096944510372,11.32717324968842,13.232539117470587,18.89496750853171
bcc_HfNb,alloy,Hf92Nb36,1.607868291567187,12.174033449813443,12.210308272773416,19.574242364433328
bcc_HfNb,alloy,Hf96Nb32,1.6282593509597854,14.159857857062502,12.030070245087865,19.588074369267392
bcc_HfTa,pure,Hf128,1.5794029177299655,12.808687306922394,12.808687140783519,20.23007784244378
bcc_HfTa,pure,Ta128,1.6276470401624865,12.261242088440977,12.261073665748558,19.956700261269848
bcc_HfTa,alloy,Hf100Ta28,1.6008448780978035,12.403235562738413,13.176334335886954,19.855656122450316
bcc_HfTa,alloy,Hf104Ta24,1.6028407186535758,12.687440885238884,12.513963468785256,20.057890199512354
bcc_HfTa,alloy,Hf108Ta20,1.5873093706037582,12.821957281882305,12.645773501825767,20.07275477798074
bcc_HfTa,alloy,Hf112Ta16,1.5871589035873706,12.703306298546819,12.741586923585094,20.162165696736107
bcc_HfTa,alloy,Hf116Ta12,1.5851733881222805,12.712050010563111,12.75008293957578,20.150803385224197
bcc_HfTa,alloy,Hf120Ta8,1.583370175080132,12.743749961288971,12.782915621411416,20.178073607383542
bcc_HfTa,alloy,Hf12Ta116,1.788990676978299,11.65862497112507,12.002830043253969,20.85717137972914
bcc_HfTa,alloy,Hf16Ta112,1.7865520262421648,11.684491169952723,12.019916081398623,20.874951375287722
bcc_HfTa,alloy,Hf20Ta108,1.624978833068286,13.41910018677234,11.673159493632664,18.96863709218319
bcc_HfTa,alloy,Hf24Ta104,1.784951398289638,11.732906572419337,12.03990406065946,20.942667992441578
bcc_HfTa,alloy,Hf28Ta100,1.6256824725525378,13.484814775343636,11.716751869555093,19.047718149582895
bcc_HfTa,alloy,Hf32Ta96,1.6263723278795161,13.49098412239789,11.752605932206357,19.114113068613065
bcc_HfTa,alloy,Hf36Ta92,1.6263137253306645,13.52649598835824,11.768800309405405,19.139761473861782
bcc_HfTa,alloy,Hf40Ta88,1.623630779545136,13.572567787167388,11.81557186696327,19.18412616112915
bcc_HfTa,alloy,Hf44Ta84,1.6116809793313898,12.136463627440852,11.845343243859377,19.09091439977974
bcc_HfTa,alloy,Hf48Ta80,1.6283370910526556,11.809475734896731,11.831549838164896,19.229807365018665
bcc_HfTa,alloy,Hf4Ta124,1.6274542493332116,13.334253698398316,11.560636312988308,18.814406692568653
bcc_HfTa,alloy,Hf52Ta76,1.6185525042901423,11.859183107911766,11.868008332608165,19.194710518145943
bcc_HfTa,alloy,Hf56Ta72,1.6351073854027103,11.850921865943889,11.853550414445445,19.37752986683532
bcc_HfTa,alloy,Hf60Ta68,1.6255581623587545,11.892339991339764,11.881689867899912,19.314377947380013
bcc_HfTa,alloy,Hf64Ta64,1.6166423258376335,13.785837415021158,11.979603607574756,19.366734238762557
bcc_HfTa,alloy,Hf68Ta60,1.6297824404985632,11.952219554145596,13.714598142553095,19.47951755433006
bcc_HfTa,alloy,Hf72Ta56,1.6328226697293835,13.850006936496152,11.969566602514528,19.544179695421438
bcc_HfTa,alloy,Hf76Ta52,1.6245974842215705,13.779106137292533,12.056467484335274,19.586906743650253
bcc_HfTa,alloy,Hf80Ta48,1.5745512637897934,12.175844337965959,12.179165525934216,19.1714910900521
bcc_HfTa,alloy,Hf84Ta44,1.594806752146749,13.98881814689653,12.136218009896359,19.354922427707695
bcc_HfTa,alloy,Hf88Ta40,1.5789051651764157,13.842119388756576,12.234163657338073,19.31658419018467
bcc_HfTa,alloy,Hf8Ta120,1.7891630130301226,11.632922886260436,11.994236837815365,20.81319536152879
bcc_HfTa,alloy,Hf92Ta36,1.5751610320258937,12.31324302019677,12.295747784436976,19.367782769663844
bcc_HfTa,alloy,Hf96Ta32,1.5849267925821864,13.478781453929317,12.363005209870582,19.594458193957042
bcc_HfTi,pure,Hf128,1.579437855268728,12.808237331527618,12.808237276901508,20.229814814402292
bcc_HfTi,pure,Ti128,1.5820881026781688,11.735337429498374,11.735337297284936,18.566337518949872
bcc_HfTi,alloy,Hf100Ti28,1.5781789003416415,12.614485544541289,12.603088814495502,19.889928846168555
bcc_HfTi,alloy,Hf104Ti24,1.5781191215062156,12.631746080630082,12.643482745262297,19.934400027853528
bcc_HfTi,alloy,Hf108Ti20,1.5786404654552806,12.665735720124133,12.663334493462468,19.9908522589755
bcc_HfTi,alloy,Hf112Ti16,1.5790287488219066,12.69474787159497,12.69953293485725,20.045371848294167
bcc_HfTi,alloy,Hf116Ti12,1.5779866671561127,12.726928213717615,12.731889709490432,20.08292303509936
bcc_HfTi,alloy,Hf120Ti8,1.5788316746898834,12.754738250012089,12.754150851977256,20.136657348874653
bcc_HfTi,alloy,Hf124Ti4,1.578576767909853,12.786322099627123,12.784953561919554,20.182030671652534
bcc_HfTi,alloy,Hf12Ti116,1.5805782064699676,11.851711834063776,11.854953371733588,18.732557434283414
bcc_HfTi,alloy,Hf16Ti112,1.5791776307728753,11.904965071705135,11.885724689637705,18.76967055540074
bcc_HfTi,alloy,Hf20Ti108,1.5771100474567152,11.933626934336612,11.94154617593186,18.82064294074235
bcc_HfTi,alloy,Hf24Ti104,1.5781460056424288,11.990223798061175,11.960051802382822,18.87470797920698
bcc_HfTi,alloy,Hf28Ti100,1.5805950730948661,11.987709867337104,12.027760342719139,18.94771515400374
bcc_HfTi,alloy,Hf32Ti96,1.5777521819634421,12.050230499042252,12.040014394285343,18.99615898145495
bcc_HfTi,alloy,Hf36Ti92,1.5784989616970477,12.070903782907136,12.088124835333357,19.05390908806388
bcc_HfTi,alloy,Hf40Ti88,1.5764734292273448,12.10547420983755,12.123623251258312,19.083958440005784
bcc_HfTi,alloy,Hf44Ti84,1.5786885542306852,12.126697465898646,12.181315543746837,19.14427849003245
bcc_HfTi,alloy,Hf48Ti80,1.5792803887989282,12.176897530302933,12.183221178555407,19.230735466021525
bcc_HfTi,alloy,Hf4Ti124,1.5812974028520463,11.774788439522203,11.777073214637776,18.619442378548758
bcc_HfTi,alloy,Hf52Ti76,1.5790725202007012,12.245343691446836,12.198067080917683,19.261632527041897
bcc_HfTi,alloy,Hf56Ti72,1.5777773930334782,12.2393339728233,12.281851815016456,19.31094444810723
bcc_HfTi,alloy,Hf60Ti68,1.5790174077912291,12.276851237749005,12.30170068267253,19.385361817268976
bcc_HfTi,alloy,Hf64Ti64,1.5758192168266318,12.316486006694532,12.344901075554203,19.40855533312555
bcc_HfTi,alloy,Hf68Ti60,1.5779755727685096,12.33903760107157,12.380353377361688,19.47069992596309
bcc_HfTi,alloy,Hf72Ti56,1.5783342189445704,12.376038635853387,12.404392156810923,19.533525273947483
bcc_HfTi,alloy,Hf76Ti52,1.5759698436684972,12.436047950453235,12.416942499289595,19.568726929446143
bcc_HfTi,alloy,Hf80Ti48,1.5776967687952468,12.442715287406898,12.454949016866859,19.630831703981084
bcc_HfTi,alloy,Hf84Ti44,1.5775921478136674,12.484408922462285,12.484695572141938,19.69530548617139
bcc_HfTi,alloy,Hf88Ti40,1.5766768810643397,12.514657311785934,12.5135569061612,19.72983587382737
bcc_HfTi,alloy,Hf8Ti120,1.5816658711891118,11.81403088642348,11.807971423589388,18.676265408667646
bcc_HfTi,alloy,Hf92Ti36,1.5787460635917556,12.536537170646056,12.553055469431136,19.792008709229187
bcc_HfTi,alloy,Hf96Ti32,1.5776211357281031,12.574307001438292,12.573560739351219,19.83631517376156
bcc_NbTa,pure,Nb128,1.0000000320019171,13.226313711263359,13.226314134530755,13.226313935916403
bcc_NbTa,pure,Ta128,1.000000014991033,13.28013547913864,13.280135678221589,13.280135569363521
bcc_NbTa,alloy,Ta100Nb28,1.0001072976175054,13.268944448640626,13.268104117266596,13.269527753227191
bcc_NbTa,alloy,Ta104Nb24,1.0000877186481096,13.26944705428386,13.270611032240623,13.27041854280256
bcc_NbTa,alloy,Ta108Nb20,1.0000718006347897,13.27142991465101,13.271239896130574,13.270477085972276
bcc_NbTa,alloy,Ta112Nb16,1.0000620519000016,13.273289607992648,13.272466026258012,13.272936508229986
bcc_NbTa,alloy,Ta116Nb12,1.0000375533931074,13.274011481329515,13.274509965500785,13.274108595466863
bcc_NbTa,alloy,Ta120Nb8,1.000084940740073,13.274912445244768,13.275902479725064,13.274774910519861
bcc_NbTa,alloy,Ta124Nb4,1.0000157354824144,13.27662854214782,13.276837456302767,13.276802652190689
bcc_NbTa,alloy,Ta12Nb116,1.0002319623526783,13.234451050329072,13.233268670625563,13.236338290760026
bcc_NbTa,alloy,Ta16Nb112,1.0002564212292204,13.235437931910138,13.235727857735785,13.238831779173909
bcc_NbTa,alloy,Ta20Nb108,1.0001483066169305,13.240289631066265,13.238326299678937,13.238969588072688
bcc_NbTa,alloy,Ta24Nb104,1.0001403791331522,13.239611719219386,13.241470284435803,13.240860536168679
bcc_NbTa,alloy,Ta28Nb100,1.0001923552446979,13.242418595456945,13.244965844126265,13.243351416309624
bcc_NbTa,alloy,Ta32Nb96,1.0002472166017236,13.246563650763509,13.243289689690783,13.245659382569624
bcc_NbTa,alloy,Ta36Nb92,1.0002217168600493,13.245261716352502,13.248198414190783,13.246902946500931
bcc_NbTa,alloy,Ta40Nb88,1.0003173438273982,13.251138010097986,13.246934177304867,13.247942291953507
bcc_NbTa,alloy,Ta44Nb84,1.0001062901493603,13.250263714313359,13.251387849185386,13.24997950688458
bcc_NbTa,alloy,Ta48Nb80,1.000101485312939,13.25060519291272,13.251949934727357,13.251524844980734
bcc_NbTa,alloy,Ta4Nb124,1.0000553272566284,13.228570705944636,13.228097298111114,13.228829172445034
bcc_NbTa,alloy,Ta52Nb76,1.0002038548000325,13.253391739269443,13.251978887227374,13.254680366733464
bcc_NbTa,alloy,Ta56Nb72,1.0002295879846794,13.253281152519962,13.254242110390022,13.25632394663016
bcc_NbTa,alloy,Ta60Nb68,1.0002046390214478,13.256434635316502,13.254080716809058,13.256793018917136
bcc_NbTa,alloy,Ta64Nb64,1.0001525222072298,13.256716164148617,13.256763141737325,13.258738107758592
bcc_NbTa,alloy,Ta68Nb60,1.0000921328525771,13.258462543273941,13.258554666099338,13.257333230171277
bcc_NbTa,alloy,Ta72Nb56,1.000115389299771,13.259520837403027,13.26091983526105,13.259389843551611
bcc_NbTa,alloy,Ta76Nb52,1.0002114140179987,13.259082220691752,13.260392325078568,13.261885376539006
bcc_NbTa,alloy,Ta80Nb48,1.0001731865244914,13.26130110176177,13.262453267919131,13.263597780409818
bcc_NbTa,alloy,Ta84Nb44,1.000100402583603,13.263689363729414,13.26474049765825,13.263408817145624
bcc_NbTa,alloy,Ta88Nb40,1.0000989655468635,13.26412858435985,13.26544127609887,13.265067408278611
bcc_NbTa,alloy,Ta8Nb120,1.0001729811693485,13.231684011703978,13.231412766562302,13.233701551814795
bcc_NbTa,alloy,Ta92Nb36,1.0001354562866895,13.267549328791477,13.265752399231335,13.265915464598379
bcc_NbTa,alloy,Ta96Nb32,1.0001221468254662,13.268498539537791,13.266878032502273,13.266880379984368
bcc_NbTi,pure,Nb128,1.562650955473509,11.644883854503647,11.644828333590826,18.196802121810695
bcc_NbTi,pure,Ti128,1.5821824870704828,11.735271786408264,11.735271505371665,18.56734105681631
bcc_NbTi,alloy,Nb100Ti28,1.6497843977233835,13.126198006129004,11.298818841218104,18.640615036944627
bcc_NbTi,alloy,Nb104Ti24,1.656531028536148,11.292283492473494,13.141814620879192,18.706017988308883
bcc_NbTi,alloy,Nb108Ti20,1.6575003337518668,11.289874101545331,13.148613317334654,18.712970091327943
