x_elem2,fe_raw_meVatom,offset_meVatom,fe_offset_corrected_meVatom
0.87500000,-56.68020248,-84.88008919,28.19988670
0.87500000,-54.53729630,-84.88008919,30.34279289
0.87500000,-56.55622482,-84.88008919,28.32386436
0.87500000,-55.58919907,-84.88008919,29.29089012
0.87500000,-54.19397354,-84.88008919,30.68611565
0.87500000,-57.52897263,-84.88008919,27.35111656
0.87500000,-54.36563492,-84.88008919,30.51445427
0.87500000,-57.74354935,-84.88008919,27.13653984
0.87500000,-53.47776413,-84.88008919,31.40232506
0.87500000,-55.32217026,-84.88008919,29.55791893
0.87500000,-55.59778214,-84.88008919,29.28230705
0.87500000,-58.83169174,-84.88008919,26.04839744
0.87500000,-52.62708664,-84.88008919,32.25300255
0.87500000,-59.38768387,-84.88008919,25.49240532
0.87500000,-49.57056046,-84.88008919,35.30952873
0.87500000,-54.34656143,-84.88008919,30.53352775
0.87500000,-50.12464523,-84.88008919,34.75544395
0.87500000,-55.84383011,-84.88008919,29.03625908
0.87500000,-54.00419235,-84.88008919,30.87589683
0.87500000,-55.44614792,-84.88008919,29.43394127
0.87500000,-57.87801743,-84.88008919,27.00207176
0.87500000,-55.62734604,-84.88008919,29.25274315
0.87500000,-56.16617203,-84.88008919,28.71391716
0.87500000,-55.17339706,-84.88008919,29.70669212
0.87500000,-55.70554733,-84.88008919,29.17454185
0.87500000,-56.43033981,-84.88008919,28.44974937
0.87500000,-54.58402634,-84.88008919,30.29606285
0.87500000,-55.06277084,-84.88008919,29.81731834
0.87500000,-55.35173416,-84.88008919,29.52835503
0.87500000,-57.93619156,-84.88008919,26.94389763
0.87500000,-55.53865433,-84.88008919,29.34143486
0.87500000,-55.51195145,-84.88008919,29.36813774
0.87500000,-56.34260178,-84.88008919,28.53748741
0.87500000,-54.48770523,-84.88008919,30.39238396
0.87500000,-55.56631088,-84.88008919,29.31377830
0.87500000,-53.86018753,-84.88008919,31.01990166
0.87500000,-55.30309677,-84.88008919,29.57699242
0.87500000,-54.80432510,-84.88008919,30.07576408
0.87500000,-57.80839920,-84.88008919,27.07168999
0.87500000,-55.97734451,-84.88008919,28.90274467
0.87500000,-55.18579483,-84.88008919,29.69429436
0.87500000,-53.34138870,-84.88008919,31.53870048
