x_elem2,fe_raw_meVatom,offset_meVatom,fe_offset_corrected_meVatom
0.81250000,-52.11901665,-82.10069398,29.98167733
0.81250000,-51.29313469,-82.10069398,30.80755929
0.81250000,-53.18427086,-82.10069398,28.91642312
0.81250000,-48.65527153,-82.10069398,33.44542245
0.81250000,-55.10783195,-82.10069398,26.99286203
0.81250000,-51.41520500,-82.10069398,30.68548898
0.81250000,-50.94027519,-82.10069398,31.16041879
0.81250000,-52.93440819,-82.10069398,29.16628579
0.81250000,-55.32717705,-82.10069398,26.77351693
0.81250000,-49.35526848,-82.10069398,32.74542550
0.81250000,-48.51126671,-82.10069398,33.58942727
0.81250000,-51.54871941,-82.10069398,30.55197457
0.84375000,-61.22303009,-85.70944414,24.48641405
0.84375000,-57.12413788,-85.70944414,28.58530626
0.84375000,-58.09879303,-85.70944414,27.61065111
0.84375000,-59.73815918,-85.70944414,25.97128496
0.84375000,-61.99073792,-85.70944414,23.71870623
0.84375000,-62.39509583,-85.70944414,23.31434832
0.84375000,-59.85641479,-85.70944414,25.85302935
0.84375000,-56.31446838,-85.70944414,29.39497576
0.84375000,-61.73706055,-85.70944414,23.97238360
0.84375000,-59.23080444,-85.70944414,26.47863970
0.84375000,-59.63325500,-85.70944414,26.07618914
0.84375000,-61.96308136,-85.70944414,23.74636278
0.84375000,-59.70287323,-85.70944414,26.00657091
0.84375000,-58.44116211,-85.70944414,27.26828203
0.84375000,-59.67998505,-85.70944414,26.02945910
0.84375000,-56.53285980,-85.70944414,29.17658434
0.84375000,-62.45613098,-85.70944414,23.25331316
0.84375000,-59.15927887,-85.70944414,26.55016527
0.84375000,-56.55956268,-85.70944414,29.14988146
0.84375000,-56.10561371,-85.70944414,29.60383043
0.84375000,-59.27467346,-85.70944414,26.43477068
0.84375000,-60.99224091,-85.70944414,24.71720324
0.84375000,-61.44142151,-85.70944414,24.26802263
0.84375000,-63.35163116,-85.70944414,22.35781298
0.84375000,-57.08694458,-85.70944414,28.62249956
0.84375000,-61.36894226,-85.70944414,24.34050188
0.84375000,-62.18338013,-85.70944414,23.52606402
0.84375000,-56.57482147,-85.70944414,29.13462267
0.84375000,-59.26990509,-85.70944414,26.43953905
0.84375000,-61.36417389,-85.70944414,24.34527025
0.84375000,-61.16199493,-85.70944414,24.54744921
0.84375000,-58.78353119,-85.70944414,26.92591295
0.84375000,-59.14783478,-85.70944414,26.56160937
0.84375000,-59.63802338,-85.70944414,26.07142077
0.84375000,-60.61172485,-85.70944414,25.09771929
0.84375000,-60.45532227,-85.70944414,25.25412188
0.84375000,-56.37264252,-85.70944414,29.33680163
0.84375000,-57.21473694,-85.70944414,28.49470720
0.84375000,-57.69920349,-85.70944414,28.01024065
0.84375000,-57.06787109,-85.70944414,28.64157305
0.84375000,-60.02712250,-85.70944414,25.68232165
0.84375000,-58.48693848,-85.70944414,27.22250567
0.84375000,-59.81731415,-85.70944414,25.89212999
0.84375000,-60.21404266,-85.70944414,25.49540148
0.84375000,-64.83650208,-85.70944414,20.87294207
0.84375000,-61.45954132,-85.70944414,24.24990282
0.84375000,-60.45436859,-85.70944414,25.25507555
0.84375000,-58.55560303,-85.70944414,27.15384112
0.84375000,-58.52317810,-85.70944414,27.18626604
0.84375000,-61.56063080,-85.70944414,24.14881334
0.84375000,-58.88938904,-85.70944414,26.82005510
0.84375000,-60.59455872,-85.70944414,25.11488543
0.84375000,-58.85410309,-85.70944414,26.85534105
0.84375000,-59.81636047,-85.70944414,25.89308367
0.84375000,-61.42807007,-85.70944414,24.28137407
0.84375000,-56.67209625,-85.70944414,29.03734789
0.84375000,-58.36200714,-85.70944414,27.34743700
0.84375000,-58.79211426,-85.70944414,26.91732989
0.84375000,-63.13228607,-85.70944414,22.57715807
0.84375000,-60.77861786,-85.70944414,24.93082628
0.84375000,-57.17658997,-85.70944414,28.53285418
0.84375000,-61.86199188,-85.70944414,23.84745226
0.84375000,-62.42084503,-85.70944414,23.28859911
0.84375000,-59.64469910,-85.70944414,26.06474505
0.84375000,-59.00096893,-85.70944414,26.70847521
0.84375000,-60.95695496,-85.70944414,24.75248919
0.84375000,-59.47208405,-85.70944414,26.23736010
0.87500000,-69.68092918,-89.31819431,19.63726512
0.87500000,-70.11675835,-89.31819431,19.20143596
0.87500000,-68.33338737,-89.31819431,20.98480693
0.87500000,-70.69659233,-89.31819431,18.62160197
0.87500000,-73.02355766,-89.31819431,16.29463664
0.87500000,-69.15926933,-89.31819431,20.15892497
0.87500000,-69.79060173,-89.31819431,19.52759258
0.87500000,-69.08679008,-89.31819431,20.23140422
0.87500000,-67.35110283,-89.31819431,21.96709148
0.87500000,-73.07696342,-89.31819431,16.24123088
0.87500000,-70.77574730,-89.31819431,18.54244701
0.87500000,-66.82562828,-89.31819431,22.49256603
0.87500000,-68.15123558,-89.31819431,21.16695873
0.87500000,-67.56758690,-89.31819431,21.75060741
0.87500000,-67.18993187,-89.31819431,22.12826244
0.87500000,-66.28870964,-89.31819431,23.02948467
0.87500000,-66.60819054,-89.31819431,22.71000377
0.87500000,-72.53432274,-89.31819431,16.78387157
0.87500000,-68.60804558,-89.31819431,20.71014873
