x_elem2,fe_raw_meVatom,offset_meVatom,fe_offset_corrected_meVatom
0.78125000,-20.45345306,-82.46701413,62.01356107
0.78125000,-16.41750336,-82.46701413,66.04951077
0.78125000,-17.26818085,-82.46701413,65.19883328
0.78125000,-17.91191101,-82.46701413,64.55510312
0.78125000,-25.71964264,-82.46701413,56.74737149
0.78125000,-17.73643494,-82.46701413,64.73057919
0.78125000,-19.69623566,-82.46701413,62.77077847
0.78125000,-16.64543152,-82.46701413,65.82158261
0.78125000,-12.90702820,-82.46701413,69.55998593
0.78125000,-26.56936646,-82.46701413,55.89764768
0.78125000,-8.31604004,-82.46701413,74.15097409
0.78125000,-19.56844330,-82.46701413,62.89857083
0.78125000,-20.72525024,-82.46701413,61.74176389
0.78125000,-11.10839844,-82.46701413,71.35861569
0.78125000,-18.68820190,-82.46701413,63.77881223
0.78125000,-18.74065399,-82.46701413,63.72636014
0.78125000,-16.17813110,-82.46701413,66.28888303
0.78125000,-14.46437836,-82.46701413,68.00263577
0.78125000,-15.32649994,-82.46701413,67.14051419
0.78125000,-19.40822601,-82.46701413,63.05878812
0.78125000,-16.92390442,-82.46701413,65.54310971
0.81250000,-22.80616760,-82.71455820,59.90839059
0.81250000,-23.87142181,-82.71455820,58.84313638
0.81250000,-26.92031860,-82.71455820,55.79423959
0.81250000,-23.68736267,-82.71455820,59.02719553
0.81250000,-26.75628662,-82.71455820,55.95827157
0.81250000,-27.26364136,-82.71455820,55.45091684
0.81250000,-28.03039551,-82.71455820,54.68416269
0.81250000,-25.50029755,-82.71455820,57.21426065
0.81250000,-27.75478363,-82.71455820,54.95977457
0.81250000,-26.87740326,-82.71455820,55.83715494
0.81250000,-27.35614777,-82.71455820,55.35841043
0.81250000,-26.15356445,-82.71455820,56.56099374
0.81250000,-26.37577057,-82.71455820,56.33878763
0.81250000,-31.90517426,-82.71455820,50.80938394
0.81250000,-32.74536133,-82.71455820,49.96919687
0.81250000,-29.27398682,-82.71455820,53.44057138
0.81250000,-31.17752075,-82.71455820,51.53703744
0.81250000,-28.24211121,-82.71455820,54.47244699
0.81250000,-29.54959869,-82.71455820,53.16495950
0.81250000,-31.84127808,-82.71455820,50.87328012
0.81250000,-31.67343140,-82.71455820,51.04112680
0.81250000,-35.12096405,-82.71455820,47.59359415
0.81250000,-23.44989777,-82.71455820,59.26466043
0.81250000,-26.88026428,-82.71455820,55.83429391
0.81250000,-30.48515320,-82.71455820,52.22940500
0.81250000,-37.05310822,-82.71455820,45.66144998
0.81250000,-22.02987671,-82.71455820,60.68468149
0.81250000,-32.63187408,-82.71455820,50.08268411
0.81250000,-28.88584137,-82.71455820,53.82871683
0.81250000,-30.25341034,-82.71455820,52.46114786
0.81250000,-28.41186523,-82.71455820,54.30269296
0.81250000,-27.94075012,-82.71455820,54.77380807
0.81250000,-27.78816223,-82.71455820,54.92639596
0.81250000,-23.56243134,-82.71455820,59.15212686
0.81250000,-30.29155731,-82.71455820,52.42300088
0.81250000,-22.51434326,-82.71455820,60.20021493
0.81250000,-25.87032318,-82.71455820,56.84423501
0.81250000,-28.31745148,-82.71455820,54.39710672
0.81250000,-26.15070343,-82.71455820,56.56385477
0.81250000,-25.69103241,-82.71455820,57.02352579
0.81250000,-25.14457703,-82.71455820,57.56998117
0.81250000,-27.35424042,-82.71455820,55.36031778
0.81250000,-26.58653259,-82.71455820,56.12802560
0.81250000,-27.08530426,-82.71455820,55.62925394
0.81250000,-29.11567688,-82.71455820,53.59888132
0.81250000,-20.44487000,-82.71455820,62.26968820
0.81250000,-20.31421661,-82.71455820,62.40034158
0.81250000,-22.15576172,-82.71455820,60.55879648
0.81250000,-34.40856934,-82.71455820,48.30598886
0.81250000,-30.21717072,-82.71455820,52.49738748
0.81250000,-30.52330017,-82.71455820,52.19125803
0.81250000,-29.88338470,-82.71455820,52.83117349
0.81250000,-30.31921387,-82.71455820,52.39534433
0.81250000,-24.01351929,-82.71455820,58.70103891
0.81250000,-30.12275696,-82.71455820,52.59180124
0.81250000,-22.19200134,-82.71455820,60.52255685
0.81250000,-25.91323853,-82.71455820,56.80131967
0.81250000,-30.94196320,-82.71455820,51.77259500
0.81250000,-24.83272552,-82.71455820,57.88183267
0.81250000,-24.30820465,-82.71455820,58.40635355
0.81250000,-26.80587769,-82.71455820,55.90868051
0.81250000,-34.10720825,-82.71455820,48.60734994
0.81250000,-25.44116974,-82.71455820,57.27338846
0.81250000,-28.85246277,-82.71455820,53.86209543
0.81250000,-23.96488190,-82.71455820,58.74967630
0.81250000,-21.41761780,-82.71455820,61.29694040
0.81250000,-27.67276764,-82.71455820,55.04179056
0.81250000,-25.13790131,-82.71455820,57.57665689
0.81250000,-19.43016052,-82.71455820,63.28439767
0.81250000,-25.89416504,-82.71455820,56.82039316
0.81250000,-29.78038788,-82.71455820,52.93417032
0.81250000,-25.38108826,-82.71455820,57.33346994
