x_elem2,fe_raw_meVatom,offset_stage1_meVatom,fe_stage1_meVatom,shift_stage2_meVatom,fe_final_meVatom
0.84375000,-60.45532227,-85.70944414,25.25412188,25.30567367,50.55979555
0.84375000,-56.37264252,-85.70944414,29.33680163,25.30567367,54.64247530
0.84375000,-57.21473694,-85.70944414,28.49470720,25.30567367,53.80038088
0.84375000,-57.69920349,-85.70944414,28.01024065,25.30567367,53.31591432
0.84375000,-57.06787109,-85.70944414,28.64157305,25.30567367,53.94724672
0.84375000,-60.02712250,-85.70944414,25.68232165,25.30567367,50.98799532
0.84375000,-58.48693848,-85.70944414,27.22250567,25.30567367,52.52817934
0.84375000,-59.81731415,-85.70944414,25.89212999,25.30567367,51.19780367
0.84375000,-60.21404266,-85.70944414,25.49540148,25.30567367,50.80107515
0.84375000,-64.83650208,-85.70944414,20.87294207,25.30567367,46.17861574
0.84375000,-61.45954132,-85.70944414,24.24990282,25.30567367,49.55557649
0.84375000,-60.45436859,-85.70944414,25.25507555,25.30567367,50.56074922
0.84375000,-58.55560303,-85.70944414,27.15384112,25.30567367,52.45951479
0.84375000,-58.52317810,-85.70944414,27.18626604,25.30567367,52.49193971
0.84375000,-61.56063080,-85.70944414,24.14881334,25.30567367,49.45448702
0.84375000,-58.88938904,-85.70944414,26.82005510,25.30567367,52.12572878
0.84375000,-60.59455872,-85.70944414,25.11488543,25.30567367,50.42055910
0.84375000,-58.85410309,-85.70944414,26.85534105,25.30567367,52.16101473
0.84375000,-59.81636047,-85.70944414,25.89308367,25.30567367,51.19875734
0.84375000,-61.42807007,-85.70944414,24.28137407,25.30567367,49.58704775
0.84375000,-56.67209625,-85.70944414,29.03734789,25.30567367,54.34302156
0.84375000,-58.36200714,-85.70944414,27.34743700,25.30567367,52.65311067
0.84375000,-58.79211426,-85.70944414,26.91732989,25.30567367,52.22300356
0.84375000,-63.13228607,-85.70944414,22.57715807,25.30567367,47.88283174
0.84375000,-60.77861786,-85.70944414,24.93082628,25.30567367,50.23649996
0.84375000,-57.17658997,-85.70944414,28.53285418,25.30567367,53.83852785
0.84375000,-61.86199188,-85.70944414,23.84745226,25.30567367,49.15312593
0.84375000,-62.42084503,-85.70944414,23.28859911,25.30567367,48.59427278
0.84375000,-59.64469910,-85.70944414,26.06474505,25.30567367,51.37041872
0.84375000,-59.00096893,-85.70944414,26.70847521,25.30567367,52.01414888
0.84375000,-60.95695496,-85.70944414,24.75248919,25.30567367,50.05816286
0.84375000,-59.47208405,-85.70944414,26.23736010,25.30567367,51.54303377
0.87500000,-69.68092918,-89.31819431,19.63726512,25.61622915,45.25349427
0.87500000,-70.11675835,-89.31819431,19.20143596,25.61622915,44.81766511
0.87500000,-68.33338737,-89.31819431,20.98480693,25.61622915,46.60103608
0.87500000,-70.69659233,-89.31819431,18.62160197,25.61622915,44.23783112
0.87500000,-73.02355766,-89.31819431,16.29463664,25.61622915,41.91086579
0.87500000,-69.15926933,-89.31819431,20.15892497,25.61622915,45.77515412
0.87500000,-69.79060173,-89.31819431,19.52759258,25.61622915,45.14382172
0.87500000,-69.08679008,-89.31819431,20.23140422,25.61622915,45.84763337
0.87500000,-67.35110283,-89.31819431,21.96709148,25.61622915,47.58332062
0.87500000,-73.07696342,-89.31819431,16.24123088,25.61622915,41.85746003
0.87500000,-70.77574730,-89.31819431,18.54244701,25.61622915,44.15867615
0.87500000,-66.82562828,-89.31819431,22.49256603,25.61622915,48.10879517
0.87500000,-68.15123558,-89.31819431,21.16695873,25.61622915,46.78318787
